GestureType,TrialNumber,Time,X_accl,Y_accl,Z_accl
G1,2,1189,0.014653442427515984,0.3717089593410492,0.9617542028427124
G1,2,1292,-0.03858739882707596,0.36194002628326416,0.8870216608047485
G1,3,25,-0.11087770760059357,0.003907584585249424,1.0296485424041748
G1,3,96,0.005861376412212849,0.0439603254199028,0.9436815977096558
G1,3,200,-0.007326721213757992,0.04249498248100281,1.0496748685836792
G1,3,302,0.09866651147603989,0.04933325573801994,1.1429684162139893
G1,3,402,1.9059243202209473,-0.05617152526974678,1.0526055097579956
G1,3,505,-0.024422403424978256,-1.3412784337997437,0.3526594936847687
G1,3,606,-1.216235637664795,-0.5451080799102783,1.6065057516098022
G1,3,708,0.3340984880924225,0.3375176191329956,0.7507447004318237
G1,3,812,0.3043031394481659,0.1616763025522232,0.9617542028427124
G1,3,914,0.15728026628494263,0.19196008145809174,1.0218334197998047
G1,3,1014,0.05665997788310051,0.21247489750385284,0.9837344288825989
G1,3,1117,0.04054119065403938,0.1631416529417038,1.076051115989685
G1,3,1218,-0.018072577193379402,0.15630337595939636,1.0843547582626343
G1,4,26,0.12406580150127411,0.1553264856338501,0.8601570129394531
G1,4,126,0.09475892782211304,0.09671271592378616,1.0335561037063599
G1,4,227,0.09133978933095932,0.12357736378908157,1.0721435546875
G1,4,327,0.0659404918551445,0.09475892782211304,0.9847112894058228
G1,4,430,1.5078390836715698,0.30967605113983154,1.0594438314437866
G1,4,533,0.9593120217323303,-0.9881304502487183,1.1932785511016846
G1,4,633,-0.9944801926612854,-0.760025143623352,1.4799976348876953
G1,4,736,0.07131341099739075,0.0801054835319519,0.8269425630569458
G1,4,839,0.19830991327762604,0.35852089524269104,0.8958137631416321
G1,4,939,0.07570944726467133,0.218336284160614,1.013529658317566
G1,4,1044,0.018072577193379402,0.2320128232240677,0.9778730273246765
G1,4,1145,-0.045425668358802795,0.23494352400302887,0.9729885458946228
G1,4,1245,-0.07570944726467133,0.20270594954490662,1.0184142589569092
G1,4,1349,0.062032900750637054,0.19489078223705292,0.9226783514022827
G1,5,42,0.1504420042037964,0.11283150315284729,0.8157082796096802
G1,5,143,0.11625063419342041,0.08254771679639816,0.953450620174408
G1,5,245,0.08205927163362503,0.07229030877351761,0.979826807975769
G1,5,346,1.037463665008545,0.20270594954490662,1.2137935161590576
G1,5,449,1.1683677434921265,-0.8943484425544739,1.0540709495544434
G1,5,550,-1.0921698808670044,-0.9114440679550171,0.761490523815155
G1,5,651,-0.08694375306367874,-0.38196638226509094,1.2562884092330933
G1,5,753,0.15776872634887695,0.16363009810447693,0.8230350017547607
G1,5,852,-0.024422403424978256,-0.006838273257017136,1.0765395164489746
G1,5,955,-0.049821704626083374,-0.033214468508958817,0.9983878135681152
G1,6,84,0.13432320952415466,0.08498996496200562,1.0599323511123657
G1,6,186,0.5001708269119263,0.12748494744300842,1.2064666748046875
G1,6,286,1.3407899141311646,0.23347817361354828,0.8674837350845337
G1,6,389,0.34728655219078064,-1.1058464050292969,1.0594438314437866
G1,6,489,-1.0540709495544434,-0.5802763104438782,1.3886579275131226
G1,6,592,-0.10794701427221298,0.08303616940975189,0.8650415539741516
